train_loss,epoch,step,val_loss,val_acc,train_acc
0.5027716159820557,0,49,,,
0.5280418992042542,0,99,,,
0.5283305048942566,0,149,,,
0.4365918040275574,0,199,,,
,0,224,0.4917779266834259,0.7743750214576721,
,0,224,,,0.7222222089767456
0.35947421193122864,1,249,,,
0.4128665328025818,1,299,,,
0.5012730360031128,1,349,,,
0.4861278533935547,1,399,,,
0.4349004328250885,1,449,,,
,1,449,0.42741212248802185,0.8268749713897705,
,1,449,,,0.8031250238418579
0.4797939956188202,2,499,,,
0.3557755649089813,2,549,,,
0.46579334139823914,2,599,,,
0.46249115467071533,2,649,,,
,2,674,0.39756491780281067,0.8293750286102295,
,2,674,,,0.8431249856948853
0.2386983186006546,3,699,,,
0.4416986107826233,3,749,,,
0.20802748203277588,3,799,,,
0.21733352541923523,3,849,,,
0.2890414595603943,3,899,,,
,3,899,0.37260901927948,0.8493750095367432,
,3,899,,,0.8580555319786072
0.3295556902885437,4,949,,,
0.2348664253950119,4,999,,,
0.36709216237068176,4,1049,,,
0.3267785310745239,4,1099,,,
